ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"114115012688000141","114","115","012688","00","0141",IQ,ITQ,"1",S,S,ZM,"0","0",,"0","0",S,QA,"9","0",,"0","0",MA,"3","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",35.00,500.00,RUA PAES LANDIN,"66",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"147286206385000056","147","286","206385","00","0056",IQ,CLD,"1",S,S,ZEU,"0","0",,"0","0",S,QA,"9","0",,"0","0",MA,"3","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",216.00,130.00,RUA EMILIO DANTAS,"90",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"147286206385000055","147","286","206385","00","0055",IQ,CLD,"1",S,S,ZEU,"0","0",,"0","0",S,QA,"9","0",,"0","0",MA,"3","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",216.00,133.00,RUA EMILIO DANTAS,"88",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"138222661228000099","138","222","661228","00","0099",GU,LAJ,"1",S,S,ZM,"0","0",,"0","0",S,QA,"9","0",,"0","0",MA,"3",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",110.00,136.00,RUA MANUEL DA SILVA LEAO,"222",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"138222661228000098","138","222","661228","00","0098",GU,LAJ,"1",S,S,ZM,"0","0",,"0","0",S,QA,"9","0",,"0","0",MA,"3","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",160.00,136.00,RUA MANUEL DA SILVA LEAO,"230",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"111363219690000109","111","363","219690","00","0109",EM,ERM,"1",S,S,ZM,"0","0",,"0","0",S,QA,"2","0",,"0","0",MA,"8","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",279.00,373.00,RUA JOAO ANTONIO ANDRADE,"526",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"233051362859000012","233","051","362859","00","0012",IQ,PQC,"1",S,S,ZPI-1,"0","0",,"0","0",S,QA,"2","0",,"0","0",MA,"14","0",L,"16050","2014",PI,"3","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",109.00,15043.00,AV ADRIANO BERTOZZI,"724",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"233051362859000011","233","051","362859","00","0011",IQ,PQC,"1",S,S,ZPI-1,"0","0",,"0","0",S,QA,"2","0",,"0","0",MA,"14","0",L,"16050","2014",PI,"3","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",1372.00,33621.00,AV ADRIANO BERTOZZI,"908",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"233051362859000010","233","051","362859","00","0010",IQ,PQC,"1",S,S,ZPI-1,"0","0",,"0","0",S,QA,"2","0",,"0","0",MA,"14","0",L,"16050","2014",PI,"3","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",2700.00,24200.00,AV ADRIANO BERTOZZI,"1072",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"057167030627000075","057","167","030627","00","0075",PE,VMT,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",147.00,132.00,RUA BELCHIOR DE GODOI,"295",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
